id,feedback,aspects,aspect_sentiments,source_channel
767,Had terrible experience with call qlity in Bhopal. Was on important client call and audio kept cutting out. Tried calling back three times same issue each time. This is unacceptable for the premium plan I am paying for. The call quality used to be acceptable but has gotten much worse over recent weeks.,"[""call_quality""]","{""call_quality"": ""negative""}",app_review
768,netwrk covrage gets worse every monsoon season in Thiruvananthapuram. Same tower same prblm for three years. Infrastructure clearly cannot handle wet weather and this basic reliability issue should have been fixed years ago. Completely unacceptable. This is completely unacceptable for the premium monthly charges they are billing me.,"[""network_coverage""]","{""network_coverage"": ""negative""}",survey
769,the netwrk has been unreliable in my ra of ludhiana for past three weeks. signal drops randomly multiple times daily and takes several minutes to reconnect. no notification from operator about maintenance or issues. v poor communication. i am seriously considering switching to a competitor because this situation is unbearable.,"[""network_coverage""]","{""network_coverage"": ""negative""}",survey
770,The 5G exprnce has been neutral for me in Trichy. Technically faster than 4G but for daily browsing and social media the difference barely noticeable. Not bad by any means but not the transformative experience marketed to consumers. I expected more from the upgrade but it is what it is at this price point.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",twitter
771,Average network experience in Bandra lake area.,"[""network_coverage""]","{""network_coverage"": ""neutral""}",complaint_ticket
772,The 5G experience has been nothing short of disappointing in Powai. Upgraded specifically for promised high speeds but coverage is so patchy that I spend most time on 4G anyway. The few times it connects speeds barely better than 4G.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
773,Call qlity nothing outstanding but acceptable in Siliguri. The 5G however has been genuinely poor with constant disconections and speeds barely above 4G. Voice works but data is disappointing. I have no strong opinion about it since it meets minimum expectations adequately.,"[""call_quality"", ""5g_experience""]","{""call_quality"": ""neutral"", ""5g_experience"": ""negative""}",survey
774,Call qlity is excellent in Varanasi. Zero issues.,"[""call_quality""]","{""call_quality"": ""positive""}",complaint_ticket
775,"network goes down daily in mysore, completely fed up","[""network_coverage""]","{""network_coverage"": ""negative""}",survey
776,Network dead and call quality terrible in Mysore.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""negative"", ""call_quality"": ""negative""}",customer_care_chat
777,network average 5g good but calls have issues in koramangala,"[""network_coverage"", ""5g_experience"", ""call_quality""]","{""network_coverage"": ""neutral"", ""5g_experience"": ""positive"", ""call_quality"": ""negative""}",customer_care_chat
778,"the 5g experience in faridabad has genuinely exceeded all of my initial expectations by a significant margin, i am getting consistent speeds above 700 mbps throughout the entire day without any noticeable fluctuation, the remarkably low latency has made cloud gaming and 4k streaming absolutely seamless on my mobile device","[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
779,The reliability of the network in Bhubaneswar is absolutely commendable and worth mentioning. Not a single outage in the entire six months of my usage so far. Coverage remains strong throughout the day regardless of whether it is peak or off peak hours. This is exactly the kind of dependable service telecom should deliver.,"[""network_coverage""]","{""network_coverage"": ""positive""}",twitter
780,5G terrible. Constant fallback to 4G in Siliguri.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
781,Terrible call quality and network keeps dropping in Mysore.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""negative"", ""network_coverage"": ""negative""}",app_review
782,5G experience mediocre compared to expectations in Amritsar.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",complaint_ticket
783,Complete failure on all fronts in Bhopal. 5G never connects. Network drops randomly. Call quality terrible with static and disconnections. Seriously considering switching to competitor. I expected much better from a major operator that advertises heavily about their 5G.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""call_quality"": ""negative""}",complaint_ticket
784,Coverage across Ghaziabad is truly impressive and I cannot praise it enough. I travel to many different parts of the city daily for my office work and the signal remains strong everywhere from hospital road to the outskirts where previously there was nothing. The consistency is what I really appreciate most about this operator.,"[""network_coverage""]","{""network_coverage"": ""positive""}",twitter
785,signal vanishes inside any building in powai,"[""network_coverage""]","{""network_coverage"": ""negative""}",app_review
786,Call quality has been the strongest point for me with this telecom operator. Whether I am calling locally within Indore or making long distance calls across the entire country the clarity is consistently excellent. No frustrating delays no annoying echoes and no unexpected drops at all.,"[""call_quality""]","{""call_quality"": ""positive""}",customer_care_chat
787,Great 5G and excellent call quality in Kozhikode.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""positive"", ""call_quality"": ""positive""}",twitter
788,5G experience is middling in Dwarka but network coverage has been solid. The 5G speeds are not impressive but at least the basic connectivity is reliable everywhere I go in the city. I expected more from the upgrade but it is what it is at this price point.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""neutral"", ""network_coverage"": ""positive""}",complaint_ticket
789,best call quality i have ever experienced,"[""call_quality""]","{""call_quality"": ""positive""}",survey
790,Coverage disappointing but 5G speeds impressive when available.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""negative"", ""5g_experience"": ""positive""}",complaint_ticket
791,5G terrible. Constant fallback to 4G in Varanasi.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
792,HD voice working perfectly. Calls sound amazing.,"[""call_quality""]","{""call_quality"": ""positive""}",complaint_ticket
793,loving the call clarity on this network,"[""call_quality""]","{""call_quality"": ""positive""}",survey
794,Call quality is standard. Nothing special at all.,"[""call_quality""]","{""call_quality"": ""neutral""}",twitter
795,I have been comparing call quality across three different operators for the past six months and this one consistently wins in Whitefield. The audio clarity on voice calls is noticeably superior with better noise cancellation and zero instances of the robotic distortion that plagued my previous provider.,"[""call_quality""]","{""call_quality"": ""positive""}",survey
796,disappointed with 5g as brly works in ahmedabad. however 4g network coverage reliable and call quality when connected actually quite good. just need to fix 5g consistency. i expected much better from a major operator that advertises heavily about their 5g.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",app_review
797,5G disappointing but netwrk reliable and calls clear in Lucknow.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",app_review
798,"calls disconnect after two minutes consistently, broken","[""call_quality""]","{""call_quality"": ""negative""}",survey
799,Loving the 5G experience in my area.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
800,Network signal average but calls are surprisingly good in Patna. Did not expect such clear audio given the mediocre signal strength. The voice codec seems to handle low signal situations well. It does what I need for basic calling and messaging but nothing beyond that.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""neutral"", ""call_quality"": ""positive""}",twitter
801,Network weak but calls clear when connected in Vijayawada.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""negative"", ""call_quality"": ""positive""}",twitter
802,Good call quality and reliable network in Mumbai.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""positive"", ""network_coverage"": ""positive""}",survey
803,The 5G in Udaipur genuinely impressive with great speeds but network drops completely in IT park and call quality on VoNR has noticeable delay. Fast data but voice service needs improvement urgently. The low latency has transformed how I use mobile internet for work and entertainment.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""positive"", ""network_coverage"": ""negative"", ""call_quality"": ""negative""}",customer_care_chat
804,Impressed with call quality improvement recently.,"[""call_quality""]","{""call_quality"": ""positive""}",twitter
805,The network coverage in Mumbai excellent and call quality pristine. Even in remote areas within city I get full bars and calls connect instantly without delay or distortion. Very happy with both aspects of this service. Even during heavy usage hours the network remains stable and dependable.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""positive"", ""call_quality"": ""positive""}",app_review
806,Call qlity has been average throughout my time on this netwrk in Vijayawada. Some days are better than others but overall neutral exprnce. Not bad enough to complain about but not good enough to praise particularly. Just standard. I have no strong opinion about it since it meets minimum expectations adequately.,"[""call_quality""]","{""call_quality"": ""neutral""}",twitter
807,Dropped calls are daily occurrence now on this network.,"[""call_quality""]","{""call_quality"": ""negative""}",app_review
808,Call quality has been average throughout my time on this network in Kolkata. Some days are better than others but overall neutral experience. Not bad enough to complain about but not good enough to praise particularly. Just standard. I have no strong opinion about it since it meets minimum expectations adequately.,"[""call_quality""]","{""call_quality"": ""neutral""}",twitter
809,Had terrible experience with call quality in Bhubaneswar. Was on important client call and audio kept cutting out. Tried calling back three times same issue each time. This is unacceptable for the premium plan I am paying for. I have tried different phones and the issue persists so clearly a network problem.,"[""call_quality""]","{""call_quality"": ""negative""}",twitter
810,5G disappointing and call quality suffered since upgrade in Gurgaon. Calls on 5G have noticeable delay not present on 4G. The speeds themselves barely better than before. Double disappointment. I expected much better from a major operator that advertises heavily about their 5G.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""negative"", ""call_quality"": ""negative""}",customer_care_chat
811,The 5G rollout in Shimla has been truly impressive in terms of both pace and quality. Coverage has expanded rapidly over the past quarter and speeds remain consistently high even during peak congestion hours. Getting 400 Mbps regularly which is exactly the kind of mobile internet experience I have been waiting for patiently.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
812,"had terrible experience with call quality in ludhiana, was on important client call and audio kept cutting out, tried calling back three times same issue each time, this is unacceptable for the premium plan i am paying for. For the premium plan I am paying this quality of voice service is completely unacceptable.","[""call_quality""]","{""call_quality"": ""negative""}",twitter
813,Great 5G rollout in Indore. Well implemented.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
814,netwrk fails every evening in Andheri. Unreliable.,"[""network_coverage""]","{""network_coverage"": ""negative""}",twitter
815,The 5G in Raipur outstanding with 200 Mbps speeds. Network coverage extends throughout city and call quality over VoNR is exceptionally clear. All three aspects working at premium level here. The speeds are genuinely impressive and make a real difference in daily usage.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",complaint_ticket
816,The network coverage in Chandigarh has been consistently excellent for the past one full year of my subscription. Whether I am indoors in my apartment or commuting through the busy city roads I always have strong and reliable signal without any interruption at all. Never once experienced dead zones in my daily routine which is exactly what I expect from a premium service provider.,"[""network_coverage""]","{""network_coverage"": ""positive""}",twitter
817,audio cuts out during ev single call i make,"[""call_quality""]","{""call_quality"": ""negative""}",customer_care_chat
818,Coverage excellent in Madurai university campus. No dead zones.,"[""network_coverage""]","{""network_coverage"": ""positive""}",complaint_ticket
819,Signal excellent even in basement in Whitefield.,"[""network_coverage""]","{""network_coverage"": ""positive""}",complaint_ticket
820,Just activated 5G on my new phone and the experience in Patna is absolutely brilliant. Getting around 250 Mbps consistently throughout the entire main road where I spend most of my time. The rollout has been remarkably smooth and coverage extends well beyond what I had initially expected from the launch.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
821,call quality poor network weak customer support useless in hubli airport road,"[""call_quality"", ""network_coverage"", ""customer_support""]","{""call_quality"": ""negative"", ""network_coverage"": ""negative"", ""customer_support"": ""negative""}",twitter
822,netwrk good calls clear and value for money excellent.,"[""network_coverage"", ""call_quality"", ""value_for_money""]","{""network_coverage"": ""positive"", ""call_quality"": ""positive"", ""value_for_money"": ""positive""}",app_review
823,5g and network both just okay in varanasi hill ra. neither impresses nor disappoints. standard telecom experience that does the minimum expected without exceeding expectations on either front. for my daily browsing and social media usage the difference is barely perceptible honestly.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""neutral"", ""network_coverage"": ""neutral""}",twitter
824,Average 5G and average call quality. Standard service in Powai highway.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""neutral""}",app_review
825,Impressive network reliability in Bhopal IT park.,"[""network_coverage""]","{""network_coverage"": ""positive""}",app_review
826,5g disappointing but network reliable and calls clear in raipur,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",customer_care_chat
827,Coverage across Jodhpur is truly impressive and I cannot praise it enough. I travel to many different parts of the city daily for my office work and the signal remains strong everywhere from highway to the outskirts where previously there was nothing. The consistency is what I really appreciate most about this operator.,"[""network_coverage""]","{""network_coverage"": ""positive""}",twitter
828,5g terrible but call quality remains good thankfully in jaipur university campus,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""negative"", ""call_quality"": ""positive""}",app_review
829,Call qlity has been average but 5G nonexistent in Faridabad. Was hoping the 5G upgrade would improve voice too but since there is no 5G here I cannot even test that. Basic calls are okay nothing more. It works for basic conversations which is all I really need from a phone servce.,"[""call_quality"", ""5g_experience""]","{""call_quality"": ""neutral"", ""5g_experience"": ""negative""}",complaint_ticket
830,Signal drops the moment I enter my office.,"[""network_coverage""]","{""network_coverage"": ""negative""}",app_review
831,5G coverage expanding well in Visakhapatnam. Signal strong.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive""}",survey
832,As someone who conducts online tutoring sessions and business meetings daily through voice calls the clarity is absolutely essential for my work. This netwrk delivers consistent HD qlity calls without any interruptions or audio distortions at all. My students and colleagues always hear me perfectly regardless of my location in the city.,"[""call_quality""]","{""call_quality"": ""positive""}",app_review
833,"calls r perfect ev time, hd audio works","[""call_quality""]","{""call_quality"": ""positive""}",twitter
834,Call quality nothing special but network never fails in Saket.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""neutral"", ""network_coverage"": ""positive""}",app_review
835,Been on this netwrk for six months in Dehradun and covrage has been acceptable. Not amazing not terrible. Occasional weak spots but nothing causing serious inconvenience. Does what I need at a basic level without impressing me particularly. It does what I need for basic calling and messaging but nothing beyond that.,"[""network_coverage""]","{""network_coverage"": ""neutral""}",twitter
836,5G is a total disappointment in Bhopal.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
837,5G okay nothing special but network coverage great in Mangalore industrial area.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""neutral"", ""network_coverage"": ""positive""}",twitter
838,Network average but 5G completely absent in Aurangabad.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""neutral"", ""5g_experience"": ""negative""}",complaint_ticket
839,"network coverage is average in bandra, nothing special","[""network_coverage""]","{""network_coverage"": ""neutral""}",survey
840,5G not working and coverage terrible in Thiruvananthapuram tech park.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative""}",app_review
841,Zero bars inside my building in Ludhiana. Pathetic.,"[""network_coverage""]","{""network_coverage"": ""negative""}",twitter
842,Happy with coverage in Mangalore. Always connected.,"[""network_coverage""]","{""network_coverage"": ""positive""}",survey
843,No 5G weak signal horrible call quality. Triple failure.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative"", ""call_quality"": ""negative""}",app_review
844,5G performance exceeds expectations in Jodhpur.,"[""5g_experience""]","{""5g_experience"": ""positive""}",customer_care_chat
845,5G not working and coverage terrible in Delhi airport road.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative""}",complaint_ticket
846,The 5G plan gives excellent speeds in Vadodara but data balance runs out incredibly fast at these speeds. Plus billing showed unexpected charges that support could not explain properly. Mixed experience. Cloud gaming and streaming work flawlessly without any buffering or lag whatsoever.,"[""5g_experience"", ""data_balance"", ""billing"", ""customer_support""]","{""5g_experience"": ""positive"", ""data_balance"": ""negative"", ""billing"": ""negative"", ""customer_support"": ""negative""}",twitter
847,Network average but 5G completely absent in Lucknow.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""neutral"", ""5g_experience"": ""negative""}",survey
848,Good network but 5G still not available in Navi Mumbai.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""positive"", ""5g_experience"": ""negative""}",survey
849,Reliable coverage in Bhopal. Very satisfied overall.,"[""network_coverage""]","{""network_coverage"": ""positive""}",app_review
850,5G signal disappears every few minutes. Completely useless.,"[""5g_experience""]","{""5g_experience"": ""negative""}",twitter
851,The 5G in Surat genuinely impressive with great speeds but network drops completely in hill area and call quality on VoNR has noticeable delay. Fast data but voice service needs improvement urgently. Downloading large files takes seconds which was unthinkable just a year ago.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""positive"", ""network_coverage"": ""negative"", ""call_quality"": ""negative""}",twitter
852,Both call quality and network coverage deteriorated in Thiruvananthapuram this month. Every other call drops midway and new dead zones appeared in areas that previously had full signal. Something went wrong with recent tower changes. This is seriously affecting my work as I depend on clear voice calls for business.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""negative"", ""network_coverage"": ""negative""}",survey
853,Voice calls are pristine on this network always.,"[""call_quality""]","{""call_quality"": ""positive""}",customer_care_chat
854,Had terribl exprnce with call qlity in Navi Mumbai. Was on important client call and audio kept cutting out. Tried calling back three times same issue each time. This is unacceptable for the premium plan I am paying for. For the premium plan I am paying this quality of voice service is completely unacceptable.,"[""call_quality""]","{""call_quality"": ""negative""}",survey
855,Network coverage okay not great not terrible but 5G has been major letdown in Udaipur. Coverage map shows my area as enabled but in practice connect to 5G maybe twenty percent of time. I have no strong feelings about it either way compared to other operators available.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""neutral"", ""5g_experience"": ""negative""}",twitter
856,Impressed with 5G performance. Worth the upgrade.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
857,"netwrk solid and call quality great in bhopal, reacharg plans offer good value with decent data limits, only complaint is mobile app which is slow and crashes frequently when checking balance. Even during heavy usage hours the network remains stable and dependable.","[""network_coverage"", ""call_quality"", ""recharge_plans"", ""mobile_app_experience""]","{""network_coverage"": ""positive"", ""call_quality"": ""positive"", ""recharge_plans"": ""positive"", ""mobile_app_experience"": ""negative""}",survey
858,5g in saket is absolutely incredible so far,"[""5g_experience""]","{""5g_experience"": ""positive""}",twitter
859,5G is a joke and netwrk barely exists in my area in Chandigarh industrial area.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative""}",app_review
860,5G rollout in Mumbai has been extremely slow.,"[""5g_experience""]","{""5g_experience"": ""negative""}",customer_care_chat
861,5G and network both just okay in Mysore hill area. Neither impresses nor disappoints. Standard telecom experience that does the minimum expected without exceeding expectations on either front. I expected more from the upgrade but it is what it is at this price point.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""neutral"", ""network_coverage"": ""neutral""}",app_review
862,Network coverage in Gurgaon strong and 5G speeds excellent above 500 Mbps. Only weak point is call quality which degraded since 5G upgrade. Voice calls have echo absent on 4G. This operator has really improved their infrastructure investments over the past year.,"[""network_coverage"", ""5g_experience"", ""call_quality""]","{""network_coverage"": ""positive"", ""5g_experience"": ""positive"", ""call_quality"": ""negative""}",app_review
863,call quality average 5g absent but coverage is strong in mysore,"[""call_quality"", ""5g_experience"", ""network_coverage""]","{""call_quality"": ""neutral"", ""5g_experience"": ""negative"", ""network_coverage"": ""positive""}",app_review
864,covrage is okay in my area. Does the job barely.,"[""network_coverage""]","{""network_coverage"": ""neutral""}",twitter
865,Network dead zone in Chennai new township. Unacceptable service.,"[""network_coverage""]","{""network_coverage"": ""negative""}",survey
866,I live in Mumbai and covrage situation is abysmal. Multiple dead zones within five kilometers of my home. For a major operator in a big city this level of coverage is completely unacceptable. Paying premium rates for substandard servce is frustrating.,"[""network_coverage""]","{""network_coverage"": ""negative""}",app_review
867,netwrk fine nothing impressive but 5G is genuinely terribl.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""neutral"", ""5g_experience"": ""negative""}",survey
868,Network solid and calls crystal clear in Koramangala industrial area.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""positive"", ""call_quality"": ""positive""}",survey
869,Acceptable covrage in Surat. Nothing to praise.,"[""network_coverage""]","{""network_coverage"": ""neutral""}",survey
870,Paid for 5G plan but never get 5G signal.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
871,Been on this network for six months in Udaipur and coverage has been acceptable. Not amazing not terrible. Occasional weak spots but nothing causing serious inconvenience. Does what I need at a basic level without impressing me particularly. It does what I need for basic calling and messaging but nothing beyond that.,"[""network_coverage""]","{""network_coverage"": ""neutral""}",twitter
872,Just activated 5G on my new phone and the exprnce in Rajkot is absolutely brilliant. Getting around 450 Mbps consistently throughout the entire main road where I spend most of my time. The rollout has been remarkably smooth and covrage extends well beyond what I had initially expected from the launch.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
873,5G plan with OTT bundle nice touch but network coverage needs attention in Surat. Streaming buffers constantly despite free subscriptions. Core network should be priority. The gap between what they promise in marketing and actual real world experience is huge.,"[""5g_experience"", ""ott_bundle_services"", ""network_coverage""]","{""5g_experience"": ""negative"", ""ott_bundle_services"": ""positive"", ""network_coverage"": ""negative""}",survey
874,I upgraded to the 5G plan three months ago and it has genuinely and completely transformed my entire mobile internet experience in Trivandrum. Downloads that used to take minutes happen almost instantly now and streaming in 4K resolution is completely buffer free even during peak hours. Well worth the switch from the standard plan.,"[""5g_experience""]","{""5g_experience"": ""positive""}",survey
875,5G experience is okay. Nothing mind-blowing honestly.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",customer_care_chat
876,"terrible coverage in hubli near mall, no signal at all","[""network_coverage""]","{""network_coverage"": ""negative""}",complaint_ticket
877,5g is middling in rajkot but at least network does not drop,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""neutral"", ""network_coverage"": ""positive""}",app_review
878,I have been comparing call qlity across three different operators for the past six mnths and this one consistently wins in Ludhiana. The audio clarity on voice calls is noticeably superior with better noise cancellation and zero instances of the robotic distortion that plagued my previous provider.,"[""call_quality""]","{""call_quality"": ""positive""}",survey
879,strong signal even inside buildings in powai,"[""network_coverage""]","{""network_coverage"": ""positive""}",complaint_ticket
880,I have been using this network in Whitefield for over two years now and the coverage has only gotten better month after month. Even areas that used to be problematic like underground parking lots and inside building lifts now get perfectly usable signal. The investment in infrastructure is clearly paying off for customers.,"[""network_coverage""]","{""network_coverage"": ""positive""}",complaint_ticket
881,Network average but 5G completely absent in Powai.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""neutral"", ""5g_experience"": ""negative""}",survey
882,Network fine nothing impressive but 5G is genuinely terrible in Amritsar hill area.,"[""network_coverage"", ""5g_experience""]","{""network_coverage"": ""neutral"", ""5g_experience"": ""negative""}",complaint_ticket
883,Good call quality and reliable network in Thane.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""positive"", ""network_coverage"": ""positive""}",survey
884,Voice calls okay. Neither great nor particularly poor.,"[""call_quality""]","{""call_quality"": ""neutral""}",survey
885,5G claim is marketing fluff in Hyderabad. Yes technically connects to 5G but speeds nowhere near expected. Getting 250 Mbps which is marginally better than 4G experience. For premium charged this is disappointing and misleading. The gap between what they promise in marketing and actual real world experience is huge.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
886,Call quality superb since switching to this operator.,"[""call_quality""]","{""call_quality"": ""positive""}",survey
887,Loving the 5G and call clarity has improved too.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""positive"", ""call_quality"": ""positive""}",complaint_ticket
888,"call quality nothing outstanding but acceptable in noida, the 5g however has been genuinely poor with constant disconnections and speeds brly above 4g, voice works but data is disappointing. It works for basic conversations which is all I really need from a phone service.","[""call_quality"", ""5g_experience""]","{""call_quality"": ""neutral"", ""5g_experience"": ""negative""}",complaint_ticket
889,Call qlity standard nothing remarkable but netwrk covrage in Agra has been excellent. Full bars everywhere and zero outages in three months. Calling average but at least connectivity is reliable. I have no strong opinion about it since it meets minimum expectations adequately.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""neutral"", ""network_coverage"": ""positive""}",app_review
890,5G not working and coverage terrible in Siliguri near station.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""negative"", ""network_coverage"": ""negative""}",app_review
891,Call quality standard but network drops too frequent in Koramangala market area.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""neutral"", ""network_coverage"": ""negative""}",complaint_ticket
892,5G plan with OTT bundle nice touch but network coverage needs attention in Faridabad. Streaming buffers constantly despite free subscriptions. Core network should be priority. I regret upgrading to the 5G plan and wish I had stayed on regular 4G instead.,"[""5g_experience"", ""ott_bundle_services"", ""network_coverage""]","{""5g_experience"": ""negative"", ""ott_bundle_services"": ""positive"", ""network_coverage"": ""negative""}",twitter
893,netwrk is just okay here. Adequate for basics.,"[""network_coverage""]","{""network_coverage"": ""neutral""}",customer_care_chat
894,Network solid and calls crystal clear in Surat commercial zone.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""positive"", ""call_quality"": ""positive""}",complaint_ticket
895,Had terrible experience with call quality in Delhi. Was on important client call and audio kept cutting out. Tried calling back three times same issue each time. This is unacceptable for the premium plan I am paying for. I have tried different phones and the issue persists so clearly a netwrk prblm.,"[""call_quality""]","{""call_quality"": ""negative""}",survey
896,Network coverage in Dwarka strong and reliable but call quality leaves much to be desired. Full bars everywhere but audio on calls frequently has static and occasional drops. Seems like software issue not coverage. Even during heavy usage hours the network remains stable and dependable.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""positive"", ""call_quality"": ""negative""}",survey
897,The 5G rollout in Kolkata has been extremely slow and existing coverage is unreliable. Signal keeps bouncing between 5G and 4G which actually makes experience worse than stable 4G. Constant handoffs cause drops and latency spikes. For the extra money they charge for the 5G plan this experience is not acceptable.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
898,Call quality has been average throughout my time on this network in Thane. Some days are better than others but overall neutral experience. Not bad enough to complain about but not good enough to praise particularly. Just standard. I have no strong opinion about it since it meets minimum expectations adequately.,"[""call_quality""]","{""call_quality"": ""neutral""}",app_review
899,Average call exprnce in Saket. Does the job.,"[""call_quality""]","{""call_quality"": ""neutral""}",twitter
900,Had terrible experience with call quality in Mangalore. Was on important client call and audio kept cutting out. Tried calling back three times same issue each time. This is unacceptable for the premium plan I am paying for. I have tried different phones and the issue persists so clearly a network problem.,"[""call_quality""]","{""call_quality"": ""negative""}",survey
901,5G average and calls are also just standard in Agra.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""neutral""}",app_review
902,"calls have constant static in hubli, cant hear anything","[""call_quality""]","{""call_quality"": ""negative""}",app_review
903,5g speeds amazing but billing confusing and customer support unhelpful in bandra airport road,"[""5g_experience"", ""billing"", ""customer_support""]","{""5g_experience"": ""positive"", ""billing"": ""negative"", ""customer_support"": ""negative""}",complaint_ticket
904,5G neutral exprnce but call qlity keeps dropping in Allahabad lake area.,"[""5g_experience"", ""call_quality""]","{""5g_experience"": ""neutral"", ""call_quality"": ""negative""}",survey
905,I upgraded to the 5G plan three mnths ago and it has genuinely and completely transformed my entire mobile intrenet exprnce in Patna. Downloads that used to take minutes happen almost instantly now and streaming in 4K resolution is completely buffer free even during peak hours. Well worth the switch from the standard plan.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
906,Call quality nothing special but network never fails in Chandigarh.,"[""call_quality"", ""network_coverage""]","{""call_quality"": ""neutral"", ""network_coverage"": ""positive""}",customer_care_chat
907,Disappointed with 5G as barely works in Powai. However 4G netwrk coverage reliable and call quality when connected actually quite good. Just need to fix 5G consistency. For the extra money they charge for the 5G plan this experience is not acceptable.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",survey
908,Network coverage in Andheri strong and reliable but call quality leaves much to be desired. Full bars everywhere but audio on calls frequently has static and occasional drops. Seems like software issue not coverage. I would definitely recommend this operator to anyone looking for reliable coverage.,"[""network_coverage"", ""call_quality""]","{""network_coverage"": ""positive"", ""call_quality"": ""negative""}",app_review
909,The 5G rollout in Thiruvananthapuram has been extremely slow and existing coverage is unreliable. Signal keeps bouncing between 5G and 4G which actually makes experience worse than stable 4G. Constant handoffs cause drops and latency spikes. I expected much better from a major operator that advertises heavily about their 5G.,"[""5g_experience""]","{""5g_experience"": ""negative""}",app_review
